,cancer SSE (left),contra SSE (left)
1,2709.0,9270.0
2,1185.358886574031,6507.296440204355
3,875.8191192498842,5179.6542693786705
4,754.0512965179104,4568.036835045303
5,669.677172711713,4062.2120818959183
6,614.0917351142609,3667.155374916208
7,564.9462073977797,3233.483534765049
8,525.399372614909,2917.690165637545
9,480.4724333723377,2676.324236351507
